Word	Part-Of-Speech	Weight	Frequency
江苏银行	n_new	114.32	3992
增持	n_new	61.01	70
减持	n_new	52.31	63
上市银行	n_new	50.85	112
复工复产	n_new	44.50	19
城商行	n_new	43.86	96
疫情防控	n_new	42.86	16
永续债	n_new	42.62	29
理财子公司	n_new	40.89	67
区块链	n_new	38.69	32
营收	n_new	36.16	53
银行理财子公司	n_new	35.26	31
转债	n_new	33.95	110
什么	n_new	32.01	25
募资	n_new	31.51	33
消费金融	n_new	31.09	31
基金管理有限公司	n_new	30.57	59
证券投资基金	n_new	30.39	96
抗疫	n_new	29.39	17
不良率	n_new	25.69	27
全国首单	n_new	24.52	9
银保监	n_new	24.49	21
消金	n_new	24.04	15
合计增持	n_new	23.88	8
拨备	n_new	23.68	21
银保监分局	n_new	22.28	3
浙商银行	n_new	22.25	7
上市银行中报	n_new	21.82	9
估值	n_new	21.76	14
估值修复	n_new	21.36	6
业绩快报	n_new	21.29	31
出售江苏银行	n_new	21.00	13
晚间重要公告	n_new	20.64	7
民企	n_new	20.59	15
银行理财能力	n_new	20.39	10
实体经济	n_new	20.34	12
普惠金融	n_new	18.92	12
手机银行	n_new	18.83	14
资产质量	n_new	18.68	19
有限责任公司	n_new	18.43	14
董秘	n_new	17.79	17
什么时候	n_new	17.71	3
拨备覆盖率	n_new	17.71	3
理财子公司同日	n_new	17.71	3
清仓减持	n_new	17.52	6
数字化转型	n_new	17.38	8
贵公司	n_new	17.29	18
投资收益	n_new	17.14	18
领跑	n_new	16.88	6
跨境金融	n_new	16.85	7
银行直销银行	n_new	16.77	15
增持王	n_new	16.71	3
定增	n_new	16.43	9
限售股	n_new	16.06	13
进行现金管理	n_new	15.46	42
风控	n_new	15.34	6
江苏银行推出	n_new	15.29	4
战疫	n_new	15.15	15
降薪	n_new	15.01	7
银行板块	n_new	15.01	7
科创	n_new	14.95	7
贴现通	n_new	14.92	7
配股预案	n_new	14.91	6
抗击疫情	n_new	14.85	11
问询函	n_new	14.57	6
供应链	n_new	14.43	13
稳定股价	n_new	14.33	9
票据经纪	n_new	14.30	12
上市银行中期	n_new	14.26	4
理财能力排名	n_new	14.24	8
固收	n_new	14.23	8
战略合作	n_new	14.20	10
增持金额	n_new	13.79	2
公司获准开业	n_new	13.65	6
自有资金购买	n_new	13.50	15
子公司提供担保	n_new	13.50	18
基金招募说明书	n_new	13.44	11
销售机构	n_new	13.41	26
重要公告集锦	n_new	13.41	7
基金代销机构	n_new	13.41	7
融资对接	n_new	12.92	5
人才贷	n_new	12.63	4
加仓	n_new	12.48	5
基金基金份额	n_new	12.46	17
参股公司	n_new	12.32	7
闲置自有资金	n_new	12.13	19
基蛋生物	n_new	12.08	20
控股子公司	n_new	11.98	18
杭州银行	n_new	11.75	9
晚间公告	n_new	11.73	40
定期定额	n_new	11.28	12
公募	n_new	11.00	8
获准筹建	n_new	10.81	14
金融力量	n_new	10.75	3
黑科技	n_new	10.75	3
净值型	n_new	10.74	11
发起设立	n_new	10.69	4
私人银行	n_new	10.69	4
银行荣获	n_new	10.69	4
长三角一体化	n_new	10.64	5
区域银行	n_new	10.64	5
北上资金	n_new	10.49	5
郑州银行	n_new	10.49	5
标准化票据	n_new	10.49	5
锁定股份	n_new	10.49	5
委托理财	n_new	10.44	13
体育产业	n_new	10.37	3
举牌	n_new	10.36	3
促消费	n_new	10.36	3
长沙银行	n_new	10.36	3
孙公司	n_new	10.36	3
厦门银行	n_new	10.36	3
备案名单	n_new	10.36	3
金服	n_new	10.36	3
低估值	n_new	10.36	3
增减持	n_new	10.36	3
审核通过	n_new	10.25	8
职工监事	n_new	10.25	5
