Word	Part-Of-Speech	Weight	Frequency
估值	n_new	94.14	114
减持	n_new	85.75	83
资管	n_new	69.25	60
私募	n_new	67.82	73
公募	n_new	65.99	89
银保监局	n_new	63.39	95
爆款基金	n_new	62.53	34
营收	n_new	61.54	61
什么	n_new	60.14	122
净息差	n_new	59.98	37
邮储银行	n_new	59.90	43
区块链	n_new	58.82	55
科创板	n_new	58.38	70
房贷	n_new	57.81	74
房贷利率	n_new	55.66	31
净流入	n_new	55.51	124
银行板块	n_new	53.87	98
不良率	n_new	53.60	75
上市银行	n_new	52.39	172
资产质量	n_new	52.20	115
北上资金	n_new	50.88	133
基金管理有限公司	n_new	49.37	163
疫情防控	n_new	47.31	36
抗疫	n_new	46.55	51
基金投顾	n_new	46.20	46
拨备覆盖率	n_new	45.77	22
永续债	n_new	45.14	25
数字化转型	n_new	43.28	32
低估值	n_new	43.21	35
估值修复	n_new	42.93	18
扫货	n_new	42.24	33
浙商银行	n_new	41.55	25
净买入	n_new	40.84	67
证券投资基金	n_new	39.65	433
复工复产	n_new	38.76	26
基金经理	n_new	38.62	27
催收	n_new	38.42	30
主力资金	n_new	36.80	144
私人银行	n_new	35.74	40
招赢通平台	n_new	34.95	21
招联金融	n_new	33.38	25
基本面	n_new	32.08	19
定投	n_new	31.79	43
业绩快报	n_new	30.77	54
涨停	n_new	30.55	48
定期定额投资	n_new	30.42	56
城商行	n_new	29.29	21
普惠金融	n_new	29.17	25
蓝筹	n_new	29.06	14
闲置自有资金	n_new	27.96	153
蚂蚁金服	n_new	27.42	11
征信	n_new	27.38	17
内幕交易	n_new	27.18	16
超短期融资券	n_new	26.79	17
消金	n_new	26.71	32
换锚	n_new	26.47	23
资金净流出	n_new	26.44	21
股份制银行	n_new	26.38	22
科创板上市	n_new	26.19	40
供应链	n_new	25.85	22
综合授信额度	n_new	25.71	21
目标价	n_new	25.64	45
调仓	n_new	25.48	16
有限责任公司	n_new	25.41	21
违法遭罚	n_new	25.26	22
原油宝	n_new	24.79	13
汇源果汁	n_new	24.60	37
降薪	n_new	23.90	14
纯债	n_new	23.78	31
直销银行	n_new	23.69	15
进行现金管理	n_new	23.60	260
灵活配置混合型	n_new	23.37	49
费率	n_new	23.03	65
混改	n_new	22.83	8
险资	n_new	22.58	28
抢筹	n_new	21.98	20
创历史新高	n_new	21.87	27
提振	n_new	21.74	16
踩雷	n_new	21.40	16
申请综合授信	n_new	20.72	14
差异化	n_new	20.69	11
中期票据	n_new	20.63	18
拉升	n_new	20.63	29
基金参加招商银行	n_new	20.41	19
实体经济	n_new	20.33	11
驰援武汉	n_new	20.29	13
巨亏	n_new	20.28	9
恒指	n_new	20.28	17
白马股	n_new	20.10	12
大宗交易	n_new	20.07	75
费率优惠	n_new	20.03	52
自有资金进行	n_new	19.84	93
宁德时代	n_new	19.82	13
疫情冲击	n_new	19.77	16
招商银行太原分行	n_new	19.67	19
组合拳	n_new	19.62	13
价格战	n_new	19.08	6
承压	n_new	18.78	24
暴风集团	n_new	18.68	16
四方监管协议	n_new	18.53	35
渤海银行	n_new	18.50	15
举牌	n_new	18.39	10
客群	n_new	18.32	9
同业存单	n_new	18.15	18
股息率	n_new	18.03	12
触及涨停	n_new	17.89	5
估值切换	n_new	17.89	5
豪宅	n_new	17.77	17
资产质量总体	n_new	17.71	3
暴力催收	n_new	17.45	4
使用部分闲置	n_new	17.43	121
债券型证券投资基金	n_new	17.39	128
科技投入	n_new	17.33	15
抗疫时期	n_new	17.26	5
抱团	n_new	17.22	9
日光基	n_new	17.15	6
银行网点	n_new	17.04	8
概念股	n_new	17.00	10
资金今日净	n_new	16.99	43
骗贷	n_new	16.74	9
分行违法遭	n_new	16.64	11
董秘	n_new	16.62	16
微博影响力	n_new	16.42	23
智慧金融	n_new	16.35	9
家族信托	n_new	16.33	14
混合型证券投资基金	n_new	16.21	160
交易型开放式	n_new	16.13	25
伪私募	n_new	15.95	4
银行理财师	n_new	15.87	15
王者归来	n_new	15.87	6
放量	n_new	15.68	20
大额申购	n_new	15.62	19
闪电贷	n_new	15.55	12
惊现	n_new	15.44	5
意味着什么	n_new	15.34	3
基金份额	n_new	15.32	167
黑天鹅	n_new	15.25	7
理财子	n_new	15.10	6
发卡量	n_new	15.10	8
暂停大额申购	n_new	15.03	9
解锁	n_new	14.97	5
晚间公告	n_new	14.93	40
金融活水	n_new	14.83	5
隐藏利润	n_new	14.83	7
境外汇款	n_new	14.80	15
大型银行	n_new	14.72	5
民企	n_new	14.72	5
售罄	n_new	14.65	11
股全线	n_new	14.65	18
换帅	n_new	14.60	16
不良率抬头	n_new	14.55	3
净卖出	n_new	14.44	7
解除质押	n_new	14.41	11
开放日常申购	n_new	14.37	38
绝对收益	n_new	14.33	7
券商牌照	n_new	14.31	11
委托理财	n_new	14.25	50
主承销	n_new	14.20	10
转换转入	n_new	14.16	20
重要公告	n_new	14.08	24
异动	n_new	14.02	28
转换转入业务	n_new	14.01	9
委托理财进展	n_new	13.99	25
行长助理	n_new	13.91	17
持有期混合型	n_new	13.87	33
银行板块防御	n_new	13.79	2
不良率普降	n_new	13.79	2
保荐机构	n_new	13.67	16
初步配售结果	n_new	13.57	67
医院提供担保	n_new	13.55	3
置业提供担保	n_new	13.55	3
顶级私募	n_new	13.55	3
联接基金	n_new	13.55	14
文旅	n_new	13.40	5
招募说明书	n_new	13.38	89
基金招募说明书	n_new	13.31	49
提示性公告	n_new	13.28	37
使用暂时闲置	n_new	13.17	32
安全垫	n_new	13.13	4
华瑞银行	n_new	13.11	7
金融动态	n_new	13.09	26
部分暂时闲置	n_new	13.06	26
放大招	n_new	13.00	5
公司章程	n_new	13.00	7
抗击疫情	n_new	12.87	15
超30%	n_new	12.86	11
活跃股	n_new	12.82	7
注册制	n_new	12.80	6
金融知识	n_new	12.78	6
