Word	Part-Of-Speech	Weight	Frequency
杭州银行	n_new	89.28	3375
城商行	n_new	59.83	130
上市银行	n_new	55.72	138
永续债	n_new	52.45	38
理财子公司	n_new	47.05	121
增持	n_new	41.42	39
估值	n_new	39.91	41
银行板块	n_new	39.66	77
营收	n_new	37.97	45
募资	n_new	35.01	31
破净	n_new	33.68	40
资本充足率	n_new	30.84	13
不良率	n_new	30.35	35
拨备	n_new	29.69	32
优先股	n_new	28.89	20
二级资本债	n_new	26.99	7
证券投资基金	n_new	26.92	64
拨备覆盖率	n_new	26.58	10
基金管理有限公司	n_new	26.55	17
限售股	n_new	26.42	34
农商行	n_new	25.57	17
浙商银行	n_new	24.89	14
估值修复	n_new	24.77	8
资产质量	n_new	23.96	42
科创	n_new	22.82	22
银保监	n_new	22.32	21
拉升	n_new	21.71	38
二级资本债券	n_new	20.69	9
实体经济	n_new	20.49	11
稳定股价措施	n_new	20.37	12
什么	n_new	20.14	13
业绩快报	n_new	19.75	29
涨停	n_new	19.26	35
上海银行	n_new	19.03	21
减持	n_new	18.79	12
进行现金管理	n_new	18.67	55
民企	n_new	18.62	9
闲置自有资金	n_new	18.59	73
徽商银行	n_new	18.20	4
城商行首家	n_new	18.05	7
银行涨停	n_new	17.71	15
贵公司	n_new	17.01	14
注册资本	n_new	16.89	10
董秘	n_new	16.75	10
低估值	n_new	16.68	6
零售业务	n_new	16.43	9
消费金融	n_new	16.41	10
战略合作	n_new	16.36	10
郑州银行	n_new	16.21	9
使用暂时闲置	n_new	16.07	10
超预期	n_new	15.99	13
解禁潮	n_new	15.81	12
风控	n_new	15.34	6
触发稳定股价	n_new	15.05	10
江苏银行	n_new	14.99	9
长沙银行	n_new	14.98	8
成都银行	n_new	14.93	17
地方银行	n_new	14.83	7
抗疫	n_new	14.77	11
降薪	n_new	14.63	8
二手房	n_new	14.60	7
增持至少	n_new	14.55	3
杭州银行打造	n_new	14.54	2
领涨	n_new	14.33	7
杭州银行荣获	n_new	14.26	4
上市银行中期	n_new	14.26	4
拟定增	n_new	14.09	12
异动	n_new	14.05	15
包商银行	n_new	13.79	2
招募说明书摘要	n_new	13.55	31
资金委托理财	n_new	13.23	8
杭州银行宁波	n_new	13.23	4
进行委托理财	n_new	13.20	10
沪指	n_new	13.14	6
吴江银行	n_new	12.91	10
放量	n_new	12.88	5
抽贷	n_new	12.86	3
常熟银行	n_new	12.84	12
使用部分闲置	n_new	12.82	25
银行员工	n_new	12.81	5
净值型	n_new	12.75	13
金牛	n_new	12.63	4
数字化转型	n_new	12.63	4
股息率	n_new	12.63	4
实际使用情况	n_new	12.49	11
绝对收益	n_new	12.48	5
解除质押	n_new	12.35	9
扣划	n_new	12.22	6
无锡银行	n_new	12.22	6
