Word	Part-Of-Speech	Weight	Frequency
疫情防控	n_new	107.36	127
银保监局	n_new	92.40	67
房贷	n_new	83.06	151
抗疫	n_new	79.55	118
区块链	n_new	78.03	111
科创板	n_new	73.22	92
普惠金融	n_new	68.90	77
复工复产	n_new	66.81	185
邮储银行	n_new	64.35	77
估值	n_new	64.28	66
原油宝	n_new	62.78	163
什么	n_new	60.28	121
减持	n_new	55.26	61
罚单	n_new	52.29	87
多措并举	n_new	51.86	33
举牌	n_new	51.64	70
营收	n_new	50.79	54
中小微企业	n_new	50.61	22
不良率	n_new	49.40	74
实体经济	n_new	48.92	81
公募基金	n_new	48.38	28
永续债	n_new	47.39	38
数字货币	n_new	46.12	54
资产质量	n_new	44.65	70
手机银行	n_new	41.88	37
险资	n_new	41.57	81
战疫	n_new	39.74	89
降薪	n_new	39.71	44
低估值	n_new	38.62	26
民企	n_new	38.29	30
银行网点	n_new	36.00	35
基金管理有限公司	n_new	35.85	51
春润行动	n_new	35.27	26
基金投顾	n_new	34.94	23
优先股	n_new	34.37	69
供应链	n_new	33.94	34
涨停	n_new	33.83	37
证券投资基金	n_new	33.37	125
抗击疫情	n_new	33.32	30
蚂蚁金服	n_new	33.00	21
巨亏	n_new	32.96	43
原油宝巨亏	n_new	32.66	21
估值修复	n_new	32.59	13
数字化转型	n_new	32.09	20
科创板上市	n_new	31.40	59
风控	n_new	30.46	21
金融活水	n_new	30.42	30
恒指	n_new	29.97	48
券商牌照	n_new	29.89	40
参与国债期货	n_new	29.69	19
入股锦州银行	n_new	29.64	10
银保监分局	n_new	29.35	26
原油宝事件	n_new	29.18	27
战略合作协议	n_new	29.14	69
高级业务总监	n_new	28.63	18
拨备	n_new	28.48	25
净流入	n_new	28.08	68
硬核	n_new	28.06	15
换锚	n_new	28.03	31
踩雷	n_new	27.99	13
蓝筹	n_new	27.34	19
股息率	n_new	27.09	28
绿鞋机制	n_new	27.07	10
征信	n_new	26.88	27
私人银行	n_new	26.65	28
金融科技研究院	n_new	26.62	26
融资成本	n_new	26.61	30
智慧银行	n_new	25.64	37
稳外贸	n_new	24.99	39
归母净利	n_new	24.98	11
城商行	n_new	24.68	19
费率优惠	n_new	24.51	43
扫货	n_new	24.42	11
内幕交易	n_new	24.21	13
概念股	n_new	23.82	14
企业渡难关	n_new	23.48	10
工行重庆市分行	n_new	23.31	15
脱贫攻坚	n_new	23.29	16
负油价	n_new	22.78	19
混改	n_new	22.28	15
企业复工复产	n_new	22.26	143
刚刚刺穿	n_new	22.14	95
防疫物资	n_new	22.09	13
央企	n_new	21.98	17
校招	n_new	21.94	12
