Word	Part-Of-Speech	Weight	Frequency
银保监局	n_new	57.14	46
城商行	n_new	52.74	90
疫情防控	n_new	48.23	26
数字化转型	n_new	39.92	30
营收	n_new	33.84	34
普惠金融	n_new	33.55	24
罚单	n_new	33.03	40
方正集团	n_new	32.67	47
减持	n_new	31.82	30
复工复产	n_new	30.53	32
北京银保监	n_new	30.50	32
文旅	n_new	29.59	29
北大方正	n_new	28.15	52
实体经济	n_new	28.09	28
证券投资基金	n_new	27.91	38
抗疫	n_new	27.36	23
中小微企业	n_new	27.24	15
白马股	n_new	26.24	12
不良率	n_new	25.80	21
民企	n_new	25.53	19
破产重整	n_new	25.41	14
上市银行	n_new	24.95	39
贷款余额超	n_new	23.98	7
资管	n_new	22.23	12
资产质量	n_new	22.19	25
存管业务	n_new	21.34	8
踩雷	n_new	20.96	10
北京银行业	n_new	20.46	27
拨备	n_new	20.21	22
网贷	n_new	19.89	16
文旅餐饮	n_new	19.00	6
商银行	n_new	18.99	10
财务造假	n_new	18.97	9
续贷	n_new	18.53	9
转型成效	n_new	18.36	12
估值优势	n_new	18.20	4
城商行领头羊	n_new	18.06	8
校企	n_new	17.94	15
现金管理	n_new	17.86	60
拨备覆盖率	n_new	17.71	3
关联交易	n_new	16.88	10
什么	n_new	16.79	8
孙公司	n_new	16.67	8
战略合作协议	n_new	16.65	14
消金	n_new	16.55	7
金融贷款余额	n_new	16.35	8
北大资源	n_new	16.18	11
金融活水	n_new	15.88	10
进行现金管理	n_new	15.63	44
跌停	n_new	15.36	10
举牌	n_new	15.07	4
风控	n_new	15.01	6
优先股	n_new	14.96	10
固收	n_new	14.91	6
核心资产	n_new	14.83	7
北京银保监局	n_new	14.79	28
问询函	n_new	14.57	6
估值修复	n_new	14.55	3
中信信托	n_new	14.54	7
基金招募说明书	n_new	14.38	16
北京地区	n_new	14.23	8
供应链	n_new	14.19	10
综合授信额度	n_new	14.12	8
自有资金购买	n_new	14.02	15
合同纠纷	n_new	13.81	12
