Word	Part-Of-Speech	Weight	Frequency
原油宝	n_new	213.46	1284
中行原油宝	n_new	128.57	550
区块链	n_new	110.01	165
疫情防控	n_new	109.30	155
原油宝事件	n_new	93.75	148
抗疫	n_new	92.60	120
复工复产	n_new	89.00	180
银保监	n_new	88.42	753
普惠金融	n_new	84.21	112
永续债	n_new	83.86	88
违法遭罚	n_new	75.20	139
房贷	n_new	70.07	100
什么	n_new	69.41	114
邮储银行	n_new	67.59	85
中小微企业	n_new	66.74	44
实体经济	n_new	65.10	109
临港新片区	n_new	60.14	30
资管	n_new	59.39	67
数字货币	n_new	57.31	74
不良率	n_new	57.15	70
净息差	n_new	56.98	31
多措并举	n_new	54.28	42
巨亏	n_new	54.08	96
原油宝穿仓	n_new	54.00	51
营收	n_new	52.58	56
估值	n_new	52.04	48
数字化转型	n_new	49.15	46
减持	n_new	49.13	42
抗击疫情	n_new	48.68	76
战疫	n_new	48.56	127
稳外贸	n_new	47.54	61
债务融资工具	n_new	46.98	37
超短期融资券	n_new	45.35	193
手机银行	n_new	45.16	52
村镇银行	n_new	44.49	59
百行进万企	n_new	43.72	36
证券投资基金	n_new	43.63	598
包商银行	n_new	41.86	26
降薪	n_new	41.52	46
负油价	n_new	41.36	44
中期票据	n_new	40.12	114
原油宝巨亏	n_new	39.56	45
公募基金	n_new	38.38	18
倒欠银行	n_new	37.39	26
有限责任公司	n_new	37.33	24
风控	n_new	37.04	23
民企	n_new	36.89	25
城商行	n_new	36.49	51
征信	n_new	35.84	45
基金管理有限公司	n_new	34.80	304
基金定投节	n_new	34.35	12
私人银行	n_new	34.33	32
私募	n_new	34.20	20
人民币国际化	n_new	33.81	27
原油宝投资人	n_new	33.32	27
法定数字货币	n_new	32.74	8
移仓	n_new	32.37	20
参与国债期货	n_new	32.24	37
纸原油	n_new	31.91	39
定期定额投资	n_new	31.86	35
纳入征信	n_new	31.32	19
踩雷	n_new	31.17	20
券商牌照	n_new	30.48	25
基金经理	n_new	30.48	17
费率	n_new	30.26	67
科创板	n_new	30.12	43
拨备	n_new	30.08	25
变更营业场所	n_new	29.20	24
供应链	n_new	29.06	25
中银富登	n_new	29.05	31
金融活水	n_new	28.82	36
金融租赁	n_new	28.77	47
金融力量	n_new	28.46	25
便利化	n_new	27.54	57
齐聚	n_new	27.42	15
原油宝惨案	n_new	27.33	6
长三角一体化	n_new	26.71	22
战略合作协议	n_new	26.68	99
社会责任	n_new	26.35	31
黑天鹅	n_new	26.14	15
纯债债券型	n_new	26.00	23
中行济南分行	n_new	25.47	19
中银金融租赁	n_new	25.43	27
中行上海市分行	n_new	25.37	35
中银协	n_new	25.35	142
移动支付	n_new	25.15	17
智慧金融	n_new	25.04	21
二级资本债券	n_new	24.99	20
启动立案调查	n_new	24.76	27
进出口银行	n_new	24.66	29
平仓	n_new	24.59	22
科创板上市	n_new	24.51	35
提示性公告	n_new	24.47	258
客户诉求	n_new	24.00	18
估值修复	n_new	23.98	7
银联	n_new	23.90	37
产品设计	n_new	23.63	14
商务厅	n_new	23.43	14
交易商协会	n_new	23.17	100
组合拳	n_new	23.02	24
转交银保监	n_new	22.71	7
提振	n_new	22.60	10
费率优惠	n_new	22.59	49
金融委	n_new	22.47	39
换锚	n_new	22.41	14
基本面	n_new	21.95	11
股息率	n_new	21.94	20
民间借贷	n_new	21.88	14
消金	n_new	21.63	14
双循环	n_new	21.63	9
熊猫债	n_new	21.57	22
接棒	n_new	21.55	21
中国银行山西省分行	n_new	21.54	17
自有资金进行	n_new	21.32	78
硬核	n_new	21.12	9
闲置自有资金	n_new	21.03	113
综合授信额度	n_new	20.97	14
互联互通	n_new	20.72	34
大型银行	n_new	20.56	10
恒指	n_new	20.54	16
大额存单	n_new	20.28	9
蚂蚁集团	n_new	20.20	23
长三角一体化发展	n_new	20.12	9
企业复工复产	n_new	20.11	93
基准利率	n_new	20.08	11
指数分级证券	n_new	19.96	279
支付互联互通	n_new	19.53	15
甩锅	n_new	19.43	7
行政处罚决定书	n_new	19.34	14
远程银行	n_new	19.08	7
混合型证券投资	n_new	19.02	138
民营银行	n_new	18.88	19
微博影响力	n_new	18.79	61
进行现金管理	n_new	18.60	205
上市收官	n_new	18.58	9
产业园	n_new	18.56	7
投研	n_new	18.53	9
亮眼	n_new	18.45	9
鹏华中证	n_new	18.43	18
蓝色债券	n_new	18.40	13
首席经济学家	n_new	18.39	12
骗贷	n_new	18.32	9
浙商银行	n_new	18.30	12
中银香港	n_new	18.29	21
同业存单	n_new	18.26	11
农商	n_new	18.21	69
关联交易	n_new	18.18	18
保供	n_new	18.12	10
拨备覆盖率	n_new	18.12	5
山东中行	n_new	18.08	68
关闭三星	n_new	18.06	19
自有资金购买	n_new	18.05	67
金租	n_new	17.93	20
区块链专利	n_new	17.89	5
董秘	n_new	17.73	21
结汇	n_new	17.40	11
闷杀	n_new	17.29	8
承压	n_new	17.15	23
支行终止营业	n_new	17.13	54
差异化	n_new	17.10	9
委托理财	n_new	17.01	48
强制平仓	n_new	16.93	10
脱贫攻坚	n_new	16.75	16
银企对接	n_new	16.68	24
揽储	n_new	16.68	6
信披	n_new	16.68	10
刷屏	n_new	16.66	12
湾区	n_new	16.65	44
刷脸	n_new	16.62	7
低估值	n_new	16.51	8
理财师	n_new	16.46	13
征求意见稿	n_new	16.40	7
参股公司	n_new	16.32	8
接受注册通知书	n_new	16.23	30
市场交易商协会	n_new	16.08	61
热议	n_new	16.05	14
净值化	n_new	16.02	17
启动自律调查	n_new	15.94	13
担责	n_new	15.86	16
医保	n_new	15.83	9
大宗交易	n_new	15.79	41
招募说明书摘要	n_new	15.75	82
高峰论坛	n_new	15.47	17
凝聚金融力量	n_new	15.34	3
短期融资券发行	n_new	15.31	111
洗牌	n_new	15.01	6
催收	n_new	15.00	6
高院发布	n_new	14.98	8
基金基金份额	n_new	14.97	132
瘦身	n_new	14.94	9
解锁	n_new	14.91	6
国资委	n_new	14.91	6
零容忍	n_new	14.90	6
威海银行	n_new	14.89	12
灰名单	n_new	14.88	4
发卡量	n_new	14.85	8
会议决议公告	n_new	14.85	204
校招	n_new	14.83	7
倒计时	n_new	14.83	7
混业	n_new	14.82	8
彰显	n_new	14.73	8
文旅	n_new	14.72	7
破题	n_new	14.72	5
倾力	n_new	14.72	5
区域性银行	n_new	14.67	6
超5%	n_new	14.60	16
转换转入	n_new	14.56	13
异动	n_new	14.56	11
换帅	n_new	14.54	12
清仓减持	n_new	14.54	4
跨境撮合	n_new	14.44	7
系列报道	n_new	14.37	32
华夏人寿	n_new	14.19	9
持有期混合型	n_new	13.90	31
配合自律调查	n_new	13.80	2
国民村镇银行	n_new	13.79	2
否认降薪	n_new	13.79	2
不良率抬头	n_new	13.79	2
董秘你好	n_new	13.79	2
估值切换	n_new	13.79	2
初步配售结果	n_new	13.68	70
注册制	n_new	13.66	8
方式召开	n_new	13.58	116
监管分局	n_new	13.58	173
发掘区块链	n_new	13.55	3
全球性数字货币	n_new	13.55	3
逆周期	n_new	13.39	10
疫情之下	n_new	13.27	12
社区支行	n_new	13.27	11
银行管理条例	n_new	13.21	20
瑞幸	n_new	13.19	8
广发银行	n_new	13.16	11
靴子落地	n_new	13.13	4
防控阻击战	n_new	13.08	14
领军	n_new	13.00	5
营销服务部	n_new	13.00	10
债券型证券投资基金	n_new	12.98	86
即时贷	n_new	12.94	4
孙公司	n_new	12.94	5
顶格	n_new	12.93	11
金融供给	n_new	12.91	8
增速放缓	n_new	12.88	5
行政许可	n_new	12.82	7
黑龙江省分行	n_new	12.81	19
精神崩溃	n_new	12.80	6
抬升	n_new	12.80	6
政策宣讲	n_new	12.80	6
住房贷款	n_new	12.72	9
贵阳银行	n_new	12.70	24
协商和解	n_new	12.67	12
绝对收益	n_new	12.63	4
准备金率	n_new	12.63	4
智库	n_new	12.63	4
园区企业	n_new	12.63	4
资金流向	n_new	12.63	4
利率互换	n_new	12.63	4
内幕交易	n_new	12.63	4
基金招募说明书	n_new	12.62	59
放大招	n_new	12.60	8
局行政处罚	n_new	12.58	15
货物贸易	n_new	12.53	7
独董	n_new	12.53	7
持续发酵	n_new	12.52	15
指导意见	n_new	12.48	5
普通投资者	n_new	12.48	5
举牌	n_new	12.48	5
系统崩溃	n_new	12.48	5
保荐机构	n_new	12.48	5
经纪业务	n_new	12.48	5
影子银行	n_new	12.47	6
遭质疑	n_new	12.46	11
市值蒸发	n_new	12.44	10
乳业	n_new	12.43	7
混合型证券投资基金	n_new	12.40	136
划扣	n_new	12.38	7
质效	n_new	12.36	12
