Word	Part-Of-Speech	Weight	Frequency
绿色金融	n_new	76.86	80
银保监局	n_new	69.56	64
疫情防控	n_new	65.42	70
估值	n_new	52.25	44
减持	n_new	51.85	54
首单	n_new	48.92	92
什么	n_new	43.61	50
理财子公司	n_new	43.56	112
营收	n_new	42.89	89
抗疫	n_new	42.83	46
净息差	n_new	42.55	22
复工复产	n_new	41.07	55
公募基金	n_new	40.59	17
资管	n_new	40.14	38
基金管理有限公司	n_new	40.07	108
证券投资基金	n_new	39.17	247
不良率	n_new	37.13	44
科创板	n_new	36.55	45
兴业银行北京分行	n_new	36.45	56
银行板块	n_new	35.39	49
中小微企业	n_new	35.27	18
天安财险	n_new	35.14	46
私募	n_new	34.18	24
业绩快报	n_new	32.98	41
超短期融资券	n_new	31.88	23
仁东控股	n_new	31.67	29
资产质量	n_new	30.74	51
费率	n_new	30.42	41
估值修复	n_new	30.21	8
供应链金融	n_new	30.08	18
基金经理	n_new	28.91	16
定期定额投资	n_new	28.53	27
战疫	n_new	28.48	67
银保监分局	n_new	28.35	24
兴业银行武汉分行	n_new	28.22	22
股份制银行	n_new	27.74	20
什么时候	n_new	27.16	8
北上资金	n_new	26.74	49
综合授信额度	n_new	25.87	17
超预期	n_new	25.81	28
实体经济	n_new	24.93	21
科创板上市	n_new	24.91	30
成功发行	n_new	24.80	28
主承销商	n_new	24.72	10
闲置自有资金	n_new	24.58	115
社区支行	n_new	24.30	34
消费金融	n_new	23.84	34
踩雷	n_new	23.84	14
低估值	n_new	23.75	13
拨备	n_new	23.66	20
交易商协会	n_new	23.62	29
净买入	n_new	23.48	23
区块链	n_new	23.25	18
融资客	n_new	22.83	18
净流入	n_new	22.54	26
文旅	n_new	20.51	8
沪指	n_new	19.69	24
战略合作协议	n_new	19.57	28
浙商	n_new	19.41	31
城商行	n_new	19.34	17
非标	n_new	19.20	8
价格战	n_new	19.14	9
蓝筹	n_new	19.07	8
主力资金	n_new	19.02	55
子公司提供担保	n_new	18.99	32
进行现金管理	n_new	18.95	149
提振	n_new	18.77	10
自有资金进行	n_new	18.69	66
调仓	n_new	18.65	12
金融委	n_new	18.62	9
微博影响力	n_new	18.50	41
纯债	n_new	18.48	26
抢筹	n_new	18.39	12
私人银行	n_new	18.38	17
数字化转型	n_new	18.32	9
兴业银行首席经济学家	n_new	18.25	17
估值切换	n_new	18.20	4
申请综合授信	n_new	18.06	10
启动自律调查	n_new	17.97	14
融资成本	n_new	17.89	18
不良率抬头	n_new	17.71	3
