ticker,date,true_volatility,st_true_volatility
601166,2016/1/13,0.009634829,-0.121529527
601169,2016/1/13,0.008381177,-0.099266211
601288,2016/1/13,0.009280056,0.221073445
601328,2016/1/13,0.017905476,1.515337232
601398,2016/1/13,0.011108736,0.371806009
601818,2016/1/13,0.017400241,1.011190218
601939,2016/1/13,0.015381651,0.620739455
601988,2016/1/13,0.017011315,1.557644322
601998,2016/1/13,0.028087039,2.098232309
1,2016/1/14,0.019591608,0.552505592
600000,2016/1/14,0.020953315,1.358292406
600015,2016/1/14,0.019997177,1.193402554
600016,2016/1/14,0.003454802,-0.696747355
600036,2016/1/14,0.014803862,0.236704522
601009,2016/1/14,0.016620961,0.114772426
601166,2016/1/14,0.012558682,0.332526244
601169,2016/1/14,0.01276645,0.352161384
601288,2016/1/14,0.009235955,0.213170805
601328,2016/1/14,0.018152232,1.554442794
601398,2016/1/14,0.011211662,0.389280471
601818,2016/1/14,0.017432886,1.015983669
601939,2016/1/14,0.015206491,0.597802133
601988,2016/1/14,0.017376556,1.620792577
601998,2016/1/14,0.024849191,1.696842506
1,2016/1/15,0.020098588,0.60753023
600000,2016/1/15,0.018265866,1.022192078
600015,2016/1/15,0.019596064,1.14699456
600016,2016/1/15,0.00748156,-0.135977992
600036,2016/1/15,0.014907356,0.252276419
601009,2016/1/15,0.01927347,0.254451842
601166,2016/1/15,0.012263339,0.286661355
601169,2016/1/15,0.012565595,0.331485023
601288,2016/1/15,0.009502932,0.261011513
601328,2016/1/15,0.017661327,1.476644824
601398,2016/1/15,0.010924777,0.340574011
601818,2016/1/15,0.017233673,0.986732092
601939,2016/1/15,0.015081702,0.581460928
601988,2016/1/15,0.016825199,1.52546584
601998,2016/1/15,0.025072522,1.724528422
1,2016/1/18,0.017799518,0.358002644
600000,2016/1/18,0.02443679,1.793946102
600015,2016/1/18,0.015594183,0.683984704
600016,2016/1/18,0.007701456,-0.105355109
600036,2016/1/18,0.011679113,-0.233450949
601009,2016/1/18,0.017641565,0.168516775
601166,2016/1/18,0.012700442,0.354540671
601169,2016/1/18,0.01343889,0.421383522
601288,2016/1/18,0.006592557,-0.260510571
601328,2016/1/18,0.01303734,0.743841526
601398,2016/1/18,0.010226454,0.222014865
601818,2016/1/18,0.011629583,0.163851698
601939,2016/1/18,0.012998812,0.308705055
601988,2016/1/18,0.013277972,0.912168878
601998,2016/1/18,0.014632122,0.43025207
1,2016/1/19,0.017737838,0.351308258
600000,2016/1/19,0.024012249,1.740851747
600015,2016/1/19,0.014764665,0.588011084
600016,2016/1/19,0.007665181,-0.110406793
600036,2016/1/19,0.013166912,-0.00959398
601009,2016/1/19,0.017064525,0.138130221
601166,2016/1/19,0.012782944,0.367352706
601169,2016/1/19,0.013735202,0.451886393
601288,2016/1/19,0.006961084,-0.1944727
601328,2016/1/19,0.012713423,0.692507591
601398,2016/1/19,0.009179276,0.044228181
601818,2016/1/19,0.010843546,0.048433417
601939,2016/1/19,0.01239695,0.229890813
601988,2016/1/19,0.013152943,0.890552019
601998,2016/1/19,0.015534055,0.542062973
1,2016/1/20,0.019373849,0.528871306
600000,2016/1/20,0.023614383,1.691093448
600015,2016/1/20,0.021494764,1.36667046
600016,2016/1/20,0.009294358,0.116473627
600036,2016/1/20,0.01774665,0.679481806
601009,2016/1/20,0.020248763,0.305810143
601166,2016/1/20,0.015977431,0.863436216
601169,2016/1/20,0.018097347,0.900933152
601288,2016/1/20,0.019977674,2.138023677
601328,2016/1/20,0.021189282,2.035750431
601398,2016/1/20,0.015540116,1.124152174
601818,2016/1/20,0.021368493,1.593871219
601939,2016/1/20,0.01614991,0.721343497
601988,2016/1/20,0.022753447,2.550428858
1,2016/1/21,0.020589762,0.660839378
600000,2016/1/21,0.022422467,1.542028904
600015,2016/1/21,0.023059581,1.547716746
600016,2016/1/21,0.012969946,0.62833879
600036,2016/1/21,0.019499362,0.943198071
601009,2016/1/21,0.023583738,0.481427778
601166,2016/1/21,0.016314152,0.915726846
601169,2016/1/21,0.020192595,1.116621608
601288,2016/1/21,0.019977674,2.138023677
601328,2016/1/21,0.022464902,2.237908989
601398,2016/1/21,0.016761462,1.331508569
601818,2016/1/21,0.022145093,1.707903812
601939,2016/1/21,0.01618642,0.726124507
601988,2016/1/21,0.023171437,2.622697138
1,2016/1/22,0.020467476,0.647567172
600000,2016/1/22,0.015533589,0.680485427
600015,2016/1/22,0.023519803,1.600963537
600016,2016/1/22,0.01138481,0.407591553
600036,2016/1/22,0.019929603,1.007932921
601009,2016/1/22,0.024243093,0.516148988
601166,2016/1/22,0.016550181,0.952380648
601169,2016/1/22,0.02116449,1.216670163
601288,2016/1/22,0.019888689,2.122078088
601328,2016/1/22,0.022539529,2.249735776
601398,2016/1/22,0.01714747,1.397043829
601818,2016/1/22,0.022265838,1.725633487
601939,2016/1/22,0.016383286,0.751904245
601988,2016/1/22,0.02314188,2.617586888
601998,2016/1/20,0.025458485,1.772375514
601998,2016/1/21,0.025480977,1.775163804
601998,2016/1/22,0.021965675,1.339378561
1,2016/1/25,0.026504711,1.302813284
600000,2016/1/25,0.013235327,0.393057978
600015,2016/1/25,0.027325046,2.041222758
600016,2016/1/25,0.011544211,0.429789857
600036,2016/1/25,0.022538299,1.40044211
601009,2016/1/25,0.030820903,0.862532225
601166,2016/1/25,0.018536743,1.260881089
601169,2016/1/25,0.030901202,2.218984154
601288,2016/1/25,0.024829198,3.007388246
601328,2016/1/25,0.025958487,2.791567684
601398,2016/1/25,0.017681782,1.487757689
601818,2016/1/25,0.027772252,2.534171559
601939,2016/1/25,0.0182527,0.996705289
601988,2016/1/25,0.026038942,3.118473728
601998,2016/1/25,0.027645649,2.043514038
1,2016/1/26,0.026760877,1.33061604
600000,2016/1/26,0.015870596,0.72263252
600015,2016/1/26,0.027686389,2.083029441
600016,2016/1/26,0.012631763,0.58124317
600036,2016/1/26,0.021296556,1.213607179
601009,2016/1/26,0.030728198,0.85765044
601166,2016/1/26,0.018079699,1.189905064
601169,2016/1/26,0.030077156,2.134155432
601288,2016/1/26,0.024917839,3.023272192
601328,2016/1/26,0.027056822,2.965630351
601398,2016/1/26,0.017614854,1.476394857
601818,2016/1/26,0.02823183,2.601654009
601939,2016/1/26,0.017384398,0.883000547
601988,2016/1/26,0.025465048,3.019250463
601998,2016/1/26,0.027309818,2.001881713
1,2016/1/27,0.01997802,0.594444486
600000,2016/1/27,0.015582537,0.686607009
600015,2016/1/27,0.020661,1.270205585
600016,2016/1/27,0.00933376,0.12196078
600036,2016/1/27,0.015368561,0.32167017
601009,2016/1/27,0.022254125,0.411411214
601166,2016/1/27,0.011629802,0.188277089
601169,2016/1/27,0.028057428,1.926241135
601288,2016/1/27,0.015811086,1.391395611
601328,2016/1/27,0.017606273,1.467919939
601398,2016/1/27,0.012088508,0.538148707
601818,2016/1/27,0.020555944,1.47456003
601939,2016/1/27,0.01349123,0.373187529
601988,2016/1/27,0.014482374,1.120403674
601998,2016/1/27,0.019736956,1.063088544
1,2016/1/28,0.020531913,0.654560787
600000,2016/1/28,0.016106438,0.752127619
600015,2016/1/28,0.020632069,1.266858325
600016,2016/1/28,0.006135262,-0.323464469
600036,2016/1/28,0.015118691,0.284074271
601009,2016/1/28,0.022069321,0.401679554
601166,2016/1/28,0.012346267,0.299539546
601169,2016/1/28,0.023425159,1.449387344
601288,2016/1/28,0.016831283,1.574208914
601328,2016/1/28,0.018584295,1.622915563
601398,2016/1/28,0.011533046,0.443844065
601818,2016/1/28,0.020557158,1.474738289
601939,2016/1/28,0.013609438,0.388666948
601988,2016/1/28,0.014703453,1.158627074
601998,2016/1/28,0.019593558,1.045311769
1,2016/1/29,0.018408686,0.424118169
600000,2016/1/29,0.022625977,1.567480467
600015,2016/1/29,0.018221626,0.987974754
600016,2016/1/29,0.006137802,-0.323110747
600036,2016/1/29,0.014597481,0.205652058
601009,2016/1/29,0.017322488,0.151714386
601166,2016/1/29,0.010935041,0.080385126
601169,2016/1/29,0.015300776,0.613049291
601288,2016/1/29,0.015832135,1.395167468
601328,2016/1/29,0.018972939,1.684507346
601398,2016/1/29,0.010632757,0.290995747
601818,2016/1/29,0.018718606,1.204773246
601939,2016/1/29,0.013211497,0.336556301
601988,2016/1/29,0.012632095,0.800500129
601998,2016/1/29,0.015847508,0.58092114
1,2016/2/1,0.012955075,-0.167784813
600000,2016/2/1,0.031026581,2.618084873
600015,2016/2/1,0.014532525,0.561152937
600016,2016/2/1,0.004352669,-0.571709718
600036,2016/2/1,0.012207116,-0.154006648
601009,2016/2/1,0.013355179,-0.05720155
601166,2016/2/1,0.009209973,-0.187506961
601169,2016/2/1,0.008986728,-0.036929743
601288,2016/2/1,0.009236897,0.213339606
601328,2016/2/1,0.014404352,0.960483766
601398,2016/2/1,0.008166413,-0.127732606
601818,2016/2/1,0.012534615,0.296742692
601939,2016/2/1,0.011134683,0.064596085
601988,2016/2/1,0.009386389,0.239334568
601998,2016/2/1,0.014435649,0.405895689
1,2016/2/2,0.011115124,-0.367482313
600000,2016/2/2,0.025170947,1.88576195
600015,2016/2/2,0.013892235,0.487072628
600016,2016/2/2,0.003540223,-0.684851562
