Word	Part-Of-Speech	Weight	Frequency
疫情防控	n_new	72.89	88
罚单	n_new	64.54	135
复工复产	n_new	57.72	89
抗疫	n_new	52.65	49
营收	n_new	49.09	48
区块链	n_new	47.17	62
降薪	n_new	45.88	62
永续债	n_new	44.56	46
内幕交易	n_new	44.53	50
银保监	n_new	43.77	233
普惠金融	n_new	43.15	40
笑果文化	n_new	42.92	19
上市银行	n_new	38.55	84
资产质量	n_new	38.02	40
基金管理有限公司	n_new	37.81	64
减持	n_new	35.24	30
证券投资基金	n_new	34.51	116
不良率	n_new	34.03	45
理财子公司	n_new	33.90	88
估值	n_new	32.05	23
净息差	n_new	30.60	11
供应链金融	n_new	30.05	10
货币市场基金	n_new	29.86	19
综合金融服务	n_new	29.07	28
闲置自有资金	n_new	28.85	140
业绩快报	n_new	28.19	42
养老金融	n_new	27.28	32
中小微企业	n_new	27.05	10
巨额罚单	n_new	26.70	11
银保监分局	n_new	25.98	20
什么	n_new	25.90	24
数字化转型	n_new	25.13	20
科创板上市	n_new	24.77	27
踩雷	n_new	24.68	18
私募	n_new	23.99	13
资管	n_new	23.62	21
支行行长	n_new	23.45	31
进行现金管理	n_new	23.44	269
股份制银行	n_new	23.24	22
战略合作协议	n_new	23.20	64
启动立案调查	n_new	22.88	25
民企	n_new	22.63	12
拨备	n_new	22.61	24
海底捞	n_new	22.39	26
征信	n_new	22.26	10
子公司提供担保	n_new	22.25	32
抗击疫情	n_new	21.55	17
降薪传闻	n_new	21.36	6
实体经济	n_new	21.29	42
银行板块	n_new	20.94	17
自有资金进行	n_new	20.92	102
巨亏	n_new	20.43	10
服务实体经济	n_new	20.37	18
制造业贷款	n_new	19.93	26
中期票据	n_new	19.75	19
微博影响力	n_new	19.47	46
二级资本债券	n_new	19.10	19
私人银行	n_new	19.08	14
费率优惠	n_new	18.64	22
什么时候	n_new	18.52	6
组合拳	n_new	18.38	12
支持市场主体	n_new	18.15	8
增资扩股方案	n_new	17.84	10
估值修复	n_new	17.71	3
目标价	n_new	17.70	21
大额罚单	n_new	17.45	4
委托理财	n_new	17.39	81
开辟绿色通道	n_new	17.33	5
监管沙箱	n_new	17.32	12
达成战略合作	n_new	17.27	10
签署战略合作	n_new	17.18	55
手机银行	n_new	17.09	11
超预期	n_new	17.09	13
董秘	n_new	16.95	10
银行业消费投诉	n_new	16.95	15
拨备覆盖率	n_new	16.87	8
稳外贸	n_new	16.68	11
幸福年华	n_new	16.67	9
防疫物资	n_new	16.60	12
零接触	n_new	16.45	6
保市场主体	n_new	16.41	7
介入调查	n_new	15.55	14
黑天鹅	n_new	15.42	6
池子举报	n_new	15.41	12
使用部分闲置	n_new	15.27	150
发卡量	n_new	15.23	7
增速放缓	n_new	15.22	9
交易明细	n_new	15.12	7
强化金融	n_new	15.03	9
标准化票据	n_new	14.95	16
信守温度	n_new	14.90	8
加码养老金融	n_new	14.86	6
直销银行	n_new	14.78	5
理想汽车	n_new	14.66	25
注册资本	n_new	14.61	17
夯实资产质量	n_new	14.55	3
四方监管协议	n_new	14.52	19
催收	n_new	14.52	6
企业复工复	n_new	14.42	52
战疫	n_new	14.26	44
罚单接连	n_new	14.13	3
到期收回	n_new	13.80	22
不良率普降	n_new	13.79	2
副总内幕交易	n_new	13.79	2
理财子公司赛道	n_new	13.79	2
销售机构	n_new	13.69	21
净值型	n_new	13.67	15
初步配售结果	n_new	13.63	59
基金参加	n_new	13.50	13
立案调查程序	n_new	13.44	10
异动	n_new	13.43	13
信披	n_new	13.39	7
优先票据	n_new	13.34	38
承压	n_new	13.20	10
金牛	n_new	13.13	4
使用暂时闲置	n_new	13.00	51
拉升	n_new	12.88	5
会议决议公告	n_new	12.81	98
流水门	n_new	12.76	4
基金基金份额	n_new	12.75	47
消保	n_new	12.72	6
违规流入	n_new	12.69	8
企业进口	n_new	12.68	6
股权激励	n_new	12.63	4
池子指控	n_new	12.63	4
